Model,Fixes,Key Technique,Limitations
ViDoRAG,Addresses the static Top-K problem of M3DocRAG and the under-utilised reasoning of S-agent RAG. Influences (and is contemporaneous with) AVIR's adaptive selection but uses GMM rather than k-means. Tackles the gap that prior VQA datasets are not built for large-corpus RAG by providing ViDoSeek with unique answers and reference pages.,"Multi-modal hybrid retrieval with adaptive Top-K via Gaussian Mixture Model: the GMM models retrieval-score distribution to dynamically choose how many pages to keep per query, then visual + textual pipelines are fused. Multi-Scale View Generation uses three agents: a Seeker rapidly scans thumbnails and selects relevant images; an Inspector reviews them and provides reflection + preliminary answer; an Answer Agent ensures consistency and gives the final answer. Releases ViDoSeek, the first large-scale collection of unique-answer queries across ~6k images for evaluating RAG over corpora.",Three-agent pipeline plus GMM-based hybrid retrieval is computationally heavy. GMM fitting may misbehave on very small or very uniform score distributions. Performance hinges on consistency between agents; conflicts can lead to inferior answers.
DocDancer,"Addresses DocAgent and SimpleDoc's reliance on closed-source LLMs and prompt-only design by providing the first end-to-end-trained open-source DocQA agent. Tackles the scarcity of high-quality DocQA training data via the Exploration-then-Synthesis pipeline. Improves outline quality over DocAgent's Adobe PDF Extract. Directly competes with MDocAgent, MACT and ViDoRAG by showing a S trained agent matches multi-agent systems.","First end-to-end trained DocQA agent. Uses MinerU2.5 for high-precision XML outline construction (17 element types with layout/semantic attributes). Provides only two tools: Search (full-text keyword search returning section IDs/snippets) and Read (goal-conditioned multimodal reader powered by an auxiliary VLM, Qwen3-VL-235B by default). Trained on 5k synthesized trajectories generated by an Exploration-then-Synthesis pipeline that explores documents via tool-use to produce challenging multi-hop QA pairs. Loss masks observation tokens to focus learning on agent decisions.","Depends on parsing quality of MinerU2.5; tool design is intentionally minimalist (only Search/Read), which may limit fine-grained spatial queries. Read tool relies on an auxiliary large VLM (Qwen3-VL-235B), so total inference cost is high. Synthetic data quality bounds learned behaviours."
InstructDoc,"Addresses the narrow training data of LLaVAR/DocOwl (1-3 task clusters, S template) that prevented zero-shot generalisation across VDU tasks. Tackles the gap that general visual instruction-tuning datasets ignore text-rich documents. Provides the dataset and bridging-module recipe that later models like Leopard and Docopilot extend with multi-image and long-context training.","Releases InstructDoc, the first large-scale visual instruction-tuning collection of 30 datasets across 12 VDU task clusters with expert-written instructions covering both intent and answer style. Trains InstructDr, which extends BLIP-2 with a Document-former bridging module that fuses OCR text + layout + visual features via cross- and self-attention into m learnable tokens, then projects them into FlanT5's input space via an MLP. Updates only Document-former + projector during training; encodes multiple pages in parallel for multi-page documents.","Per-page processing with mean-pooling for multi-page inputs limits cross-page reasoning. Most tasks in the dataset are S-page; multi-page coverage (DUDE, SlideVQA) is small. Requires off-the-shelf OCR. CLIP encoder is not document-specialised."
Docopilot,"Built explicitly to address RAG's fragmented retrieval, multi-stage error accumulation and extra latency (criticism aimed at M3DocRAG/CREAM-style pipelines). Provides the first large-scale high-quality multi-page document QA training corpus, filling a gap noted by InstructDoc, Hi-VT5 and Leopard. Acts as a strong native baseline that retrieval-based methods (Doc-V*, DocLens, MoLoRAG) compare against.","Native multi-page MLLM (no RAG) trained on a new 758k-sample Doc-750K dataset (5.2B text tokens, 3.1M images) covering S- and cross-page proxy tasks (abstract/title/caption/experiment writing, translation, multi-image QA). Uses InternVL2 architecture with engineering tricks (multimodal data packing, Ring Attention, Liger Kernel) to extend MLLM context for full-document training and inference.","Performance bound by the LLM's context window even with Ring Attention. Visual tokens still grow linearly with document length, limiting practical scalability beyond several dozen pages. Heavy training cost and dataset construction. Lacks an explicit retrieval/agent fallback when documents exceed capacity."
LayTokenLLM,"Solves the position-ID waste of prior layout-as-token methods (e.g., DocLLM, He et al. inline {text,Box:[...]}) that consumed thousands of position IDs for layout strings on MP-DocVQA, squeezing the textual learning space. Provides a lightweight alternative to layout-as-modality models (UDOP, DocFormerv2) that need extra encoders, and to OCR-free visual MLLMs (mPLUG-DocOwl2, Texthawk2) whose visual tokens scale with resolution.","Represents the layout of each OCR text segment as a S layout token produced by a layout tokenizer (4D-bbox projector + attention encoder over a learnable query). The layout token is interleaved after its corresponding text segment but shares the first position ID of that segment, so layout tokens consume zero extra position IDs (T-Ratio remains 100% for text). Adds a new pre-training objective NTLP (Next Interleaved Text and Layout Token Prediction) that requires cross-modal prediction between text and layout tokens.","No visual modality, so charts/figures are lost. Heavy reliance on OCR quality and bounding boxes. Layout token shares position IDs with text, which can complicate fine-grained spatial reasoning. Requires NTLP pretraining."
CoR,"Solves Qwen2.5-VL's information dilution and evidence-localization failure on long PDFs without requiring an external retriever, addressing limitations identified in M3DocRAG/MDocAgent's retrieve-then-read pipelines (decoupled retrieval is brittle). Also targets shallow chart comprehension that hurts Docopilot/Leopard/InternVL3. Provides an end-to-end alternative to fixed RAG and agentic frameworks like SimpleDoc/MDocAgent while preserving interpretability via explicit reasoning traces.","Chain-of-Reading: a four-stage trainable CoT paradigm (Task Planning -> Phased & Focused Search -> Cross-modal Evidence Integration -> Synthesized Reasoning & Verification) supervised by a 26k QA CoR-Dataset with explicit reasoning traces. Adds Mask-AR, a self-supervised objective that masks figure/table captions and forces the MLLM to reconstruct them from the visual content, strengthening chart/figure grounding. Three-stage training: LoRA SFT on public DU data, full SFT on CoR+Mask-AR, then DPO alignment.","Still bounded by the Qwen2.5-VL context window for very long documents. Requires expensive supervised CoR traces and DPO data. Mask-AR depends on scientific-paper-style figure-caption pairs, which may not transfer to slides/forms. Performance gap remains versus strongest proprietary models (GPT-4o)."
DocR1,"Targets the gap that prior visual RL methods (VisualRFT, Vision-R1, Video-R1) ignored multi-page document reasoning. Provides an alternative to retrieval-based pipelines (M3DocRAG, MoLoRAG) by training the MLLM itself to perform coarse-to-fine evidence selection. Complements Doc-V*'s GRPO-based agentic training with a non-agentic, S-pass formulation.",EviGRPO: a GRPO variant for multi-page document understanding that adds an evidence-page-aware reward to the standard format and ANLS accuracy rewards. The model must output structured <think>/<evidence_page>/<answer> triplets with per-page T/F relevance flags; the evidence reward is F1 between predicted and gold evidence pages (using F1 instead of accuracy avoids the reward-hacking trap of always predicting all pages irrelevant). Two-stage curriculum: S-page warmup then multi-page training on 4.8k EviBench examples generated by a two-stage MLLM annotation+verification pipeline; releases ArxivFullQA evaluation set.,Limited training data (4.8k examples). Cannot scale to documents whose page count exceeds Qwen2.5-VL's image-token capacity. Reward design assumes evidence-page annotations exist (not always available). S-pass output means no iterative refinement when evidence is missed.
Leopard,"Addresses the fact that prior text-rich MLLMs (LLaVAR, mPLUG-DocOwl-1.5, UReader) were optimised for S images and cannot reason across slide decks, multi-chart articles or multi-page documents. Tackles the dual challenge of resolution vs sequence length that hampered Mantis, VILA, Idefics2 and LLaVA-Next-Interleave on text-rich inputs. Complements multi-page VRDU pipelines (Docopilot, mPLUG-DocOwl2) with a recipe for multi-image instruction-tuning.","MLLM specialised for text-rich multi-image tasks. Curates Leopard-Instruct, a 925k instance instruction-tuning dataset including 585k newly collected multi-image samples (multi-chart from Pew, slide decks from SlideShare, etc.) generated by GPT-4o with cross-image reasoning rationales. Introduces an adaptive high-resolution multi-image encoding module that computes per-image sub-image splits based on aspect ratio and resolution under a global token budget, then applies pixel shuffling (4x token compression) before vision-language projection.","Despite adaptive encoding, multi-page documents still produce long visual sequences. Pixel-shuffle compression is lossless geometrically but discards per-token granularity. Heavy reliance on GPT-4o-generated synthetic instructions. Limited explicit cross-page agent reasoning."
DocSLM,"Targets two problems other models leave open: (i) the linear visual-token growth of mPLUG-DocOwl2/Docopilot/InternVL2 that exceeds edge GPU memory, and (ii) the latency overhead of RAG pipelines like InternVL2-RAG (3.5x slower). Builds on GRAM's compression idea but maintains a constant per-page cost. Improves over LayTokenLLM by jointly compressing vision+OCR+layout in one module.","Compact 2B Small VLM designed for edge deployment. Hierarchical Multimodal Compressor jointly fuses visual patches, OCR text and layout into a fixed 576 tokens per page (5.6x reduction): Local OCR Compression cross-attends visual patches to spatially-aligned OCR tokens; Global Visual Compression then summarises local features into a fixed page representation using global low-res features as queries. Streaming Abstention partitions documents into segments processed sequentially; only text predictions and per-token entropy are stored across segments, then an Uncertainty Calibrator picks the most confident segment answer (with explicit ""Not Answerable"" abstention training).",Compression to 576 tokens/page may lose fine details on dense text-heavy pages. Streaming aggregation is S-pass; cannot revisit earlier segments. Smaller backbone caps reasoning ability versus 7B+ models. Requires multi-stage curriculum data.
Texthawk2,"Targets the high token cost of dual-encoder (CogAgent, MiniGemini) and large-token (UReader, TextMonkey) text-rich LVLMs. Tackles the trade-off between OCR accuracy and grounding ability that competitor LVLMs (GPT-4o, InternVL 1.5) struggle to balance. Provides a strong S-encoder OCR-free backbone alternative to mPLUG-DocOwl2 and DocSLM.",Bilingual LVLM with 16x visual-token compression via TextHawk's two-step resampling+rearrangement (each step reduces tokens by 4x). Visual encoder is unified SigLIP-SO400M reinforced via LVLM co-training to transfer to previously unseen tasks like Chinese OCR and grounding. Adds a detection head with special coordinate tokens (representing a bounding box in 7 tokens vs 25 for a digit string) trained jointly with an L1 loss for grounding. Dynamic high-resolution cropping (up to 72 sub-images / 1.8M pixels at SFT). Pre-trained on ~100M diverse samples.,16x compression may still miss extremely fine text on huge documents. Detection-head grounding requires special coordinate-token vocabulary. No explicit multi-page/agent reasoning module; multi-page support comes from sub-image cropping plus LLM context.
mPLUG-DocOwl2,"Designed against the 1k-3k visual-tokens-per-page cost of UReader/Monkey/InternVL/InternLM-XComposer that prevents multi-page processing. Improves over independent per-crop compression (TokenPacker) and learnable-query compression (Q-former, Resampler) by exploiting layout structure. Sets the OCR-free multi-page baseline that DocSLM, Texthawk2, Leopard and Docopilot compare against.","High-resolution DocCompressor that uses cross-attention with the global low-resolution feature map as queries and the spatially-corresponding sub-image features as keys/values, compressing each high-resolution document image into 324 tokens regardless of resolution while preserving layout-aware groupings. Inserted after the H-Reducer V2T module so compression operates in the LLM's textual feature space. Three-stage training: S-image pretraining, multi-image continue-pretraining, multi-task fine-tuning.",324 tokens/page may still under-represent text-dense pages. Compression quality depends on the global feature map's coverage. Training pipeline is multi-stage and data-heavy. Does not retrieve or iterate; performance degrades on documents exceeding context limit.
RM-T5,Targets the lack of cross-page context in Hi-VT5 (each page encoded independently before decoding) and the quadratic cost of concatenation-based methods. Provides a low-parameter alternative to GRAM's local-global attention by using recurrence instead of global tokens. Inspired by Transformer-XL and the original RMT for NLP.,"Recurrent Memory Transformer adapted to MP-DocVQA. Each page is processed in sequence by a T5 encoder that takes as input the previous page's m memory tokens (default 100), the textual question and the current page's OCR text + DiT visual patches. The encoder updates the memory tokens, which carry context to the next page. After all pages, all per-page memory tokens are concatenated and passed to the T5 decoder for answer generation. Curriculum pre-training adds one page at a time. An answer-page-prediction module provides explainability.",Recurrent processing means later pages have indirect access to early pages only via memory; long documents may suffer from forgetting. Memory size is fixed (100 tokens). Training requires curriculum strategy. Cannot revisit earlier pages once their memory has been overwritten.
Arctic-TILT,"Targets TILT's fragile S-step text/image fusion and its 9k-token ceiling that prevented multi-page DU. Addresses the general MP-VRDU problems of quadratic attention cost and OCR token explosion, while keeping cost low enough for edge/enterprise deployment. Competes directly with hierarchical/long-context baselines like Hi-VT5 and GRAM and very large LVLMs (GPT-4V, Gemini), aiming to match them at sub-billion scale on long business documents.","Extends the TILT encoder-decoder by replacing one-time text+image summation fusion with layer-wise tensor-product fusion applied after every encoder block (with gating, layer norm, dropout). Adds SLED-style chunked sparse attention (block-diagonal mask), nested gradient checkpointing, mixed precision, KV-cache removal and CPU offloading so a S 24GB GPU can train and serve up to 389k input tokens (~500 pages). Trained from T5-Large with extended self-supervised pretraining on CCpdf/OCR-IDL and SFT on 17 DU datasets, plus calibrated confidence scores via per-token min-aggregation.","Visual backbone is small (~8M params) and struggles with unusual aspect ratios, slide-heavy or infographic layouts. Performance shows a strong primacy bias toward evidence near the document start (lost-in-the-middle on later pages). Still constrained to ~500 pages and depends on OCR quality; not designed for cross-page agentic reasoning."
Hi-VT5,"Establishes the multi-page VRDU problem itself by introducing MP-DocVQA. Solves the fundamental input-truncation problem of S-page LayoutLM/T5/BigBird models while keeping per-page processing tractable. Sets the baseline that GRAM, RM-T5, Arctic-TILT, CREAM and many later models compare against and explicitly try to surpass.","Hierarchical T5-based encoder-decoder. Each page is independently encoded with OCR tokens (with 2D position embeddings), DiT visual patches and the question; M learnable [PAGE] tokens summarise per-page content, similar to BERT's [CLS]. The decoder consumes the concatenation of all pages' [PAGE] tokens to generate the answer. An auxiliary answer-page-prediction head predicts which page contains evidence, providing explainability. Introduces the MP-DocVQA dataset (46k questions over 6k documents up to 20 pages).","Pages are encoded fully independently before the decoder, losing cross-page context until late fusion. Cannot scale beyond ~20 pages in practice; truncates inputs. Relies on OCR quality. The S-page-evidence assumption built into MP-DocVQA limits learning of true multi-hop reasoning."
GRAM,"Targets Hi-VT5's lack of cross-page interaction prior to decoding (each page encoded fully independently) and the quadratic cost of LayoutLM/Longformer/BigBird on flat concatenated documents. Demonstrates that local+global attention can be retrofitted to strong S-page backbones without expensive pretraining, an alternative to the OCR-free MLLM trend (Docopilot, mPLUG-DocOwl2).","Extends a S-page DocFormerv2 encoder-decoder to multi-page by interleaving page-level (intra-page self-attention with shared weights) and document-level (global doc-token-only self-attention) sub-layers in each block. Introduces learnable Doc tokens with a per-attention-head decaying constant bias to force the pretrained encoder to attend to the new global tokens. Optional C-Former (compression transformer with N_c learnable queries) compresses concatenated encoder outputs before the decoder, trading accuracy for latency. Avoids the O((N*K)^2) cost of naive concatenation and avoids extra pretraining.","Memory still grows linearly with page count (no retrieval gating). DocFormerv2 backbone is proprietary, hindering reproducibility. C-Former compression hurts accuracy when N_c is small. Still constrained to documents that fit in S-pass encoder+decoder."
MultiDocFusion,"Addresses the problem that fixed-length / semantic chunking (LumberChunker, Perplexity chunking, StyleDFS) ignores document hierarchy and breaks evidence across chunk boundaries on long industrial documents. Complements DocAgent's outline construction and MHier-RAG's parent-page retrieval by providing a more accurate hierarchy-construction recipe.","Multimodal chunking pipeline with four stages: (a) Document Parsing (DETR/VGT) detects layout regions and bounding boxes; (b) OCR (Tesseract/EasyOCR/TrOCR) extracts text per region; (c) DSHP-LLM, an instruction-tuned LLM (Llama-3.2-3B / Qwen-2.5-3B / Mistral-8B with LoRA), constructs a Document Hierarchical Tree by inferring header parent-child links and attaching general nodes (tables, figures, text) by spatial order; (d) DFS-based Grouping traverses the tree to produce hierarchical chunks marked by Markdown headers, splitting when a max-length is exceeded.",Heavy multi-stage pipeline; DP/OCR errors propagate. DSHP-LLM requires fine-tuning. Hierarchy inference can fail on poorly structured scans. Still text-centric; no native image retrieval.
PDF-WuKong,Directly addresses the dichotomy between pure-text RAG (loses visual info) and pure-vision MLLM (token explosion); positions itself between Hi-VT5/GRAM/Fox/CREAM/DocOwl2-style page-level encoding (still linear) and dense long-context LLMs. Demonstrates that joint training of retriever and generator beats fixed-pipeline RAG (M3DocRAG).,"End-to-end sparse sampling MLLM for long PDFs with interleaved text and images. A document parser extracts text blocks and figure/table images; a sparse sampler encodes them with a text encoder and a shared image encoder, computes similarity to the user query and selects the top-K most relevant text and image evidences. Trained end-to-end with contrastive loss over positive (annotated evidence) and negative (random) samples, jointly with the LLM. Provides PaperPDF, a bilingual 1.1M-QA dataset with annotated evidence sources.",Requires positive evidence annotations for training. Quality of document parsing bounds performance. Sampler-LLM coupling means swapping LLMs requires retraining. Sparse sampling may miss multi-evidence questions if K is small.
MLDocRAG,"Extends Doc2Query/QCG-RAG to the multimodal setting, addressing the cross-modal heterogeneity and cross-page reasoning failures of standard RAG (M3DocRAG, VisRAG). Provides an alternative to MoLoRAG (page-graph) and MHier-RAG (parent-page index) by anchoring retrieval in synthetic queries rather than chunks or pages.","Multimodal Chunk-Query Graph (MCQG) constructed via MDoc2Query: an LVLM generates multiple answerable query-answer pairs from each modality-specific chunk (paragraphs, figures, tables, equations). Query nodes are linked to their source chunk via Chunk-Query edges and to top-K nearest queries via Query-Query edges (KNN over query embeddings). At inference, the user query retrieves similar generated queries via KNN in vector space, then the linked chunks are aggregated and ranked for the LVLM generator. Storage decouples vector DB (FAISS) from graph DB (Neo4j).","Heavy offline cost to generate and embed many queries per chunk. Quality depends entirely on the LVLM's query-generation quality. Visual chunks are accessed only via their queries, which can lose visual fidelity. Graph maintenance complexity for evolving corpora."
MHier-RAG,Targets two failure modes of M3DocRAG/MDocAgent: (i) inability to retrieve visual evidence whose surrounding text on the same page is the only handle (multi-modality disconnection) and (ii) inability to aggregate evidence from non-adjacent pages (long-distance reasoning). Sits between pure RAG and agentic methods by enriching the index rather than the inference loop.,"Hierarchical index combining (i) flattened in-page indexing of small textual chunks (text+table+layout-text) and (ii) topological cross-page indexing built by clustering semantically related text blocks and recursively summarising them with an LLM into a tree. Multi-granularity retrieval: page-level parent-page retrieval (hits a chunk then returns the entire parent page with all visual elements) for multi-modal connection, plus document-level summary retrieval over the tree for long-distance reasoning. Both stages use joint similarity + LLM re-ranking; final answer generated with a CoT prompt and structured-output template.","Pre-processing is heavy (clustering, GMM, recursive LLM summarisation). Topological tree must be rebuilt per document. Visual content is mediated through textual descriptions, losing fidelity. Does not natively retrieve images; relies on parent-page heuristic for multi-modal evidence."
DFVC,"Targets the i.i.d. page-encoding assumption of VisRAG and ColPali/ColQwen, which discards cross-page semantics when tables, paragraphs or sections span page breaks. Avoids the context-dilution problem that arises from naively concatenating neighbouring pages (as a sliding-window text RAG would). Complements graph-based and re-ranking approaches (MoLoRAG, MHier-RAG) by working purely at the embedding level.","Dynamically Fusing Visual Context: a lightweight MLP adapter sits on top of a frozen VLM (VisRAG or ColQwen) and predicts gating weights (alpha, beta) over the previous and next page embeddings to produce a residual-fused embedding for the current page. Trained with a list-wise contrastive ranking loss plus a drift regularizer that prevents the fused embedding from straying too far from the original. Initialised with negative bias so the adapter starts as identity mapping for stable training.",Only fuses across a fixed window of three pages (previous/current/next); cannot capture longer-range cross-page context. Requires training the adapter per backbone. Improves retrieval but does not change the downstream generator. Limited by base VLM's per-page representation quality.
